symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
KKO;Kinetiko Energy Ltd;31/10/2013;0.01;0.04;0.04;16.67;0.72;8480000;0;0;0;0;0;0;0;0;0.05;0;0.18;0;0;1.97;1.97;0;0;2.2;2.2;113.22;9.95;15.52;9.95;9.17;13.73;9.17;9.95;15.52;9.95;5.51;182.38;0;0;6852.34;7291.67;7291.67;0;0;0;0;0;0;21423;1.052387
AZS;Azure Minerals Limited;31/08/2010;0.01;0.02;0.03;9.09;1.88;31780000;0;0;0;0;0;0;0;0;0.01;0.01;7.52;0;0;0;0;0;0;0;0;0;53.89;59.12;53.89;50.11;54.22;50.11;54.12;59.58;54.12;2.09;1316.06;0;0;1055.52;1060.89;1060.88;0;22.97;5.66;0;0;1650000;1700000;1.082208
SGP;Stockland Corporation Ltd;31/07/2014;0.37;4.34;4.59;7.35;1.13;10440000000;11.6;0.12;0.13;0.24;0.25;0.24;5.68;448;3.87;0.12;0.38;21.34;21.34;24.18;24.18;39.07;39.07;44.27;44.27;0;6.93;4.82;6.93;5.44;3.88;5.44;9.86;6.84;9.86;0.88;2403.08;0;42.23;27.49;26.93;38.19;3.33;0.67;0.12;3.51;6.74;6850000;5940000;1.042527
WHF;Whitefield Limited;30/04/2016;0.17;4.35;4.27;3.33;1.02;364570000;25.83;0.08;0.08;0.17;0.17;0.17;3.91;12.95;4.27;0.07;30.85;9.94;9.25;9.94;9.25;12.1;11.22;12.1;11.22;0;3.2;3.72;3.03;3.18;3.71;3.03;3.88;4.49;3.76;0.74;57.54;0;79.65;76.69;76.69;71.72;9.16;13.6;8.44;3.83;8.4;21148;19350;1.022723
NWZ;Newzulu Ltd;30/06/2018;0.02;0;0.01;88.96;0.57;8160000;0;0;0;0;0;0;0;0;0.01;0;2.14;0;0;4.64;4.64;0;0;6.4;6.4;30.95;156.82;263.79;156.82;123.1;190.23;123.1;166.6;290.74;166.6;1.34;546.62;0;0;394.39;597.73;589.33;0;28.13;6.77;0;0;251000;2470000;1.002895
PAC;Pacific Current Group Ltd;31/03/2012;1.72;5.2;4.38;23.33;0.81;146250000;0;0.05;0.05;0.25;0.25;0.25;4.64;13.36;6.66;0.11;0.91;0;0;0;0;0;0;0;0;0.96;19.01;19.08;19.01;18.33;18.2;18.33;22.74;21.67;22.74;1.24;23.11;0;100;1370.84;7.94;861.03;0;4.51;19.92;0;0;88299;56500;1.062534
IBC;Ironbark Capital Limited;31/01/2018;0;0.49;0.47;5.43;0.9;61650000;161.72;0;0.01;0.01;0.02;0.01;4.79;1.51;0.54;0.52;297.36;0;0;0;0;0;0;0;0;0;0.47;4.08;0.47;0.47;4.04;0.47;0.47;4.09;0.47;0.45;62.92;0;2012.5;2495.83;2495.83;1587.5;45.43;70.76;45.3;44.26;25.78;32725;20498;1.002962
TRH;Potash Minerals Ltd;30/09/2013;0.04;0.83;0.07;87.44;0.13;55010000;19.36;0;0;0;0;0;0;0;0.21;0;0.72;0;0;0;0;0;0;0;0;9.9;17.5;30.05;36.59;18.11;30.4;37.44;16.94;28.41;35.76;2.8;72.9;0;1976.39;7970.82;12278.04;13169.87;0;36.96;0;0;0;0;0;1.052656
TCH;Touchcorp Ltd;30/04/2011;0.16;1.05;1.84;60;2.85;138080000;6.58;0;0;0;0;0;0;0;0.38;0.08;2.16;0;0;0;0;0;0;0;0;4.34;40.95;0;32.51;30.99;0;20.69;41.16;0;32.61;0;113.9;0;81.91;44.45;39.19;40.21;0;0;0;0;0;323120;328663;1.072533
NAGN;NAGAMBIE DEF;30/11/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.012981
SBU;Siburan Resources Limited;30/09/2013;0.02;0.01;0.01;50;1.69;6980000;0;0;0;0;0;0;0;0;0.01;0;4.94;0.03;0.03;12.75;12.75;0.03;0.03;14.86;14.86;0.14;277.5;83.53;277.5;251.87;78.67;251.87;277.6;83.55;277.6;1.08;87.33;0;0;131424;1070000;1070000;0;0;0;0;0;0;17143;1.052706
CPBDA;CAMPB.BROS DEF SET;31/05/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.032883
ACR;Acrux Limited;28/02/2019;0.08;0.31;0.51;53.33;1.2;52450000;3.99;0;0.06;0;0.06;0;19.05;9.99;0.26;0.18;5.95;0;0;0;0;0;0;0;0;24.44;27.94;26.76;27.94;25.49;24.66;25.49;30.72;29.21;30.72;0.9;152.3;0;0;71.28;66.06;45.46;25.65;21.11;26.12;25.74;0;45184;234157;0.993194
GRB;Gage Roads Brewing Co Limited;31/05/2013;0;0.05;0.04;7.65;1.58;42970000;40.65;0;0;0;0;0;0;0;0.03;0.01;0.49;0;0;28.61;28.61;0;0;57.86;57.86;2.47;3.7;0.85;3.7;1.84;0.54;1.84;3.75;1.15;3.75;1.45;854.18;0;51.81;10.96;6.45;2.4;37.98;10.08;36.15;29.02;0;542096;722562;1.052815
MXR;Maximus Resources Limited;31/12/2012;0;0;0;61.53;1.04;7320000;0;0;0;0;0;0;0;0;0;0;6.6;0;0;0;0;0;0;0;0;0;15.09;42.69;15.09;14.58;42.08;14.58;15.17;42.75;15.17;2.32;2181.9;0;0;3129.2;3869.5;4046.71;0;0;22.15;0;0;23180000;3060000;1.062824
SRE;Stirling Resources Pty Ltd;31/10/2017;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0.04;0;0;183.03;216.46;0;0;0;0;0.36;0;0;0;31.88;0;7.81;0;0;0;0;332.52;0;0;209.17;325.74;1295.67;0;0;0;0;0;0;0;1.013177
TWT;TWT Group Limited;28/02/2011;0.03;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0.24;0.24;1.55;0;0;19.47;25.42;0;0;46.57;68.11;3.26;12.08;9.68;10.13;4.9;4.55;4.39;12.08;9.68;10.13;0;58.8;0;13.62;5.75;10;10.42;0;19.77;0;0;0;0;0;1.072843
MLB;Melbourne IT Limited;31/08/2013;0.07;1.9;1.87;9.29;1.47;192140000;27.4;0.02;0.02;0.05;0.06;0.06;3.15;4.65;1.29;0.13;0.55;21.85;21.88;29.11;27.09;47.74;44.4;63.61;54.98;10.39;4.01;4.73;4.16;3.1;3.49;3.08;5.24;6.18;4.78;0.11;79.4;0;54.36;12.63;8.61;5.13;18.97;4.57;7.44;21.7;4.48;22029;28395;1.053003
AFA;ASF Group Limited;31/12/2011;0.03;0.2;0.24;23.08;8.85;120690000;0;0;0;0;0;0;0;0;0.02;0;0.18;0;0;54.31;54.31;0;0;121.71;121.71;8.97;73.17;45.14;73.17;47.61;32.43;47.61;71.41;42.64;71.41;0.27;101.19;0;69.26;612.15;1326.72;1396.69;0;23.2;10.69;0;0;0;15421;1.072895
OMIDA;OMI HOLD DEF SET;28/02/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.993423
CRH;Crowe Horwath Australasia Pty Ltd;31/10/2012;0.32;0.5;0.43;58.73;0.77;136500000;0;0;0;0;0;0;0;3.48;0.65;0.04;1.68;16.35;16.35;18.22;18.22;28.51;28.51;31.77;31.77;2.09;30.9;1.85;30.9;24.76;1.5;24.76;39.94;2.27;39.94;0.84;210.89;0;0;4.49;20.82;22.39;0;1.34;9.62;0;0;0;0;1.062968
IPD;Impedimed Limited;30/09/2016;0.08;0.78;1.22;29.07;3.53;292510000;0;0;0;0;0;0;0;0;0.23;0.22;16.85;0;0;0;0;0;0;0;0;10.2;43.19;53.58;43.19;40.44;49.29;40.44;43.27;53.79;43.27;0.81;361.91;0;73.38;433.75;436.86;436.86;0;7.35;18.66;0;0;2130000;811121;1.023281
ADY;Admiralty Resources NL;31/07/2014;0;0.01;0.01;0;0.73;11530000;0;0;0;0;0;0;0;0;0.01;0;0.08;0;0;17.48;17.48;0;0;22.2;22.2;2.4;14.81;35.25;14.81;11.78;33.41;11.78;14.81;36.34;14.81;0.45;610.91;0;0;51577.95;48942.6;70721.45;0;56.09;36.07;0;0;110000;69119;1.043156
WNR;Wingara AG Ltd;31/01/2013;0.1;0.33;0.31;0;5.96;15570000;0;0;2;0;2;0;606.06;0;0.06;0.03;1.08;3.88;3.88;42.1;42.1;8.61;8.61;93.28;93.28;5.7;174.26;134.49;174.26;58.99;37.39;58.99;205.6;0;205.6;0;1.44;0;48.66;11.82;37.75;41.16;0;0;0;0;0;0;26851;1.053102
BKN;Bradken Limited;31/12/2016;1.15;3.21;2.17;664.29;1.63;661350000;0;0;0;0;0;0;0;0;1.96;0.35;1.91;40.26;40.26;40.97;40.97;126.18;126.18;128.43;128.43;7.27;19.44;4.08;19.44;15.21;3.34;15.21;44.81;7.65;44.81;1.44;189.79;0;15.94;29.65;32.16;23.88;0;6.58;4.11;0;0;2940000;830166;1.023304
ILHDA;Wakenby Ltd;31/05/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.19;956.39;956.39;956.39;956.39;0;0;0;0;0;0;45.92;0;146.41;26.77;146.41;0;63.03;0;0;0.34;0;0;9727.71;9727.71;9727.71;0;80.69;0;0;0;0;0;1.033341
BCS;BrisConnections Units Trusts;28/02/2019;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;2.99;0.22;0.91;62.12;62.12;67.92;67.92;244.77;244.77;267.65;267.65;0;0.85;0;0.85;0.83;0;0.83;11.98;0;11.98;0;441.12;0;0;1.64;1.65;5.37;0;0;0;0;0;0;0;0.993614
BAL;"Bellamy&#039;s Australia Ltd";30/11/2014;0.39;3.81;10.75;73;4.39;368380000;9.66;0.08;0.08;0.12;0.12;0.12;3.15;6.68;0.86;0.34;2.32;0.01;0.01;0.09;0.09;0.02;0.02;0.16;0.16;0;57.86;40.58;57.86;35.54;26.11;35.54;58.01;40.92;58.01;0;70.2;0;34.16;22.28;22.16;15.64;272.8;78.28;0;271.55;0;1230000;4040000;1.043325
PDN;Paladin Energy Ltd;31/05/2010;0.1;0.1;0.16;55.61;0.93;167860000;0;0;0;0;0;0;0;0;0.1;0.05;0.44;27.06;30.63;54.25;57.53;168.19;236.45;337.16;444.08;0.09;19.19;19.38;16.65;17.75;17.86;15.27;84.67;41.21;63.94;1.21;1407.71;0;5.62;7.27;126.41;98.72;0;7.17;46.76;0;0;32150000;4590000;1.083072
XTD;White Eagle Resources Ltd;31/12/2015;0;0.1;0.01;0;6.61;5970000;0;0;0;0;0;0;0;0;0;0;24.89;0;0;0;0;0;0;0;0;0;51.76;0;51.76;48.74;0;48.74;51.76;0;51.76;0;184.61;0;0;2549.26;2549.26;2549.34;0;0;0;0;0;45000;162769;1.033425
URA;Kaboko Mining Ltd;28/02/2017;0.01;0;0;75;0.1;0;0;0;0;0;0;0;0;0;0.01;0;0.05;6.48;0.15;24.84;33.38;17.62;0.49;67.52;107.72;10.06;25.39;43.9;27.41;17.39;34.9;21.15;49.74;72.1;61.05;2.38;877.21;0;0;1343.7;1730.34;2275.86;0;17.71;0;0;0;0;1250000;1.013613
RFF;Rural Funds Group;31/01/2011;0.21;1.67;1.61;27.6;1.37;347290000;8.03;0.04;0.02;0.09;0.09;0.09;5.48;13.04;1.22;0.02;0.92;38.65;38.65;39.45;39.45;70.48;70.48;71.94;71.94;4.87;11.37;8.45;11.37;11.01;8.13;11.01;19.34;14.43;19.34;0;174.54;0;0;173.02;169.49;131.03;54.35;29.72;0;47.89;0;120475;249236;1.073254
CRB;Carbine Resources Ltd;31/10/2013;0.03;0.12;0.18;57.53;6.33;23160000;0;0;0;0;0;0;0;0;0.02;0.02;16.94;0;0;0;0;0;0;0;0;0;175.62;41.51;54.98;138.33;39.43;53.13;175.62;41.51;54.98;0.87;115.79;0;0;7001.92;7004.79;5706.11;0;7.54;0;0;0;149915;239209;1.053471
TEXN;TARGET DEF X OPT;30/11/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.073357
QNL;Quest Minerals Limited;31/01/2012;0.1;0.3;0;0;0;640350;0;0;0;0;0;0;0;0;0.11;0.01;0.08;0;0;52.45;52.45;0;0;0;0;0;0;342.96;0;228.9;85.15;228.91;0;342.96;0;0;1.42;0;0;814800;1850000;1850000;0;82.05;67.11;0;0;0;0;1.063453
CVI;CVI Energy Corpration Ltd;30/11/2014;0.04;0;0;0;0;37272;0;0;0;0;0;0;0;0;0.1;0;0.01;0;0;2649.56;2649.56;0;0;0;0;9.29;0;396.35;0;2087.66;354.42;2087.66;0;395.79;0;0;12.42;0;0;3761.25;4194.49;4194.49;0;24.52;19.4;0;0;0;0;1.043581
WEGDA;White Eagle Resources Ltd;31/03/2012;0;0;0.01;0;0.5;0;0;0;0;0;0;0;0;0;0.03;0.03;24.89;0;0;0;0;0;0;0;0;0;51.76;0;51.76;48.74;0;48.74;51.76;0;51.76;0;62.15;0;0;2549.26;2549.26;2549.34;0;0;0;0;0;0;0;1.063506
TTVDA;TWO WAY DEF SET;29/02/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.023761
INTN;INTERMOCO DEF;31/05/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.073507
MIKN;MIKOH CORP DEF;30/06/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.053677
IRL;INDIA RESOURCES LIMITED;31/07/2014;0;0;0;20;0.78;2000000;0;0;0;0;0;0;0;0;0;0;0.51;0;0;16.75;18.15;0;0;73.4;197.61;54.76;107.28;33.48;111.22;31.41;16.36;34.73;130.11;35.12;125.42;2.62;561.13;0;15.67;20.35;52.73;57.22;0;20.92;0;0;0;0;0;1.043778
ORDN;ORD RIVER DEF;28/02/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.073629
CHN;Chalice Gold Mines Limited;31/05/2010;0.02;0.16;0.16;65;0.76;43010000;0;0;0;0;0;0;0;0;0.22;0.22;83.1;0;0;0;0;0;0;0;0;0;7.18;6.99;7.18;7.08;6.59;7.08;7.27;6.99;7.27;0.74;180.98;0;0;1345.58;1597.98;1258.61;0;0;0;0;0;84500;108538;1.08358
DSB;Delta SBD Ltd;30/09/2011;0.02;0.24;0.17;60;0.64;13740000;9.87;0.01;0.01;0.01;0.01;0.01;3.33;0;0.38;0.06;1.3;2.05;2.05;15.95;15.95;3.8;3.8;29.5;29.5;3.72;5.91;11.78;5.91;3.53;7.96;3.53;6.61;15.4;6.61;1.36;27.3;0;94.79;5.39;2.67;1.66;24.44;3.42;0;25.7;0;0;21274;1.073647
MAH;Macmahon Holdings Limited;30/09/2010;0;0.14;0.11;66.67;0.85;174390000;190.79;0;0;0;0;0;0;0;0.17;0.05;1.9;0;0;0.07;0.07;0;0;0.1;0.1;0;0.51;5.13;0.51;0.27;2.92;0.27;0.51;6.57;0.51;1.24;799.4;0;16.78;11.08;1.12;0.32;0.99;20.45;7.81;5.54;11.09;16320000;585184;1.083627
N1H;N1 Holdings Ltd;31/08/2013;0;0.17;0.21;0;2.64;4250000;0;0;0;0;0;0;0;0;0.06;0.05;5.05;2.18;0;2.68;0;2.87;0;3.51;0;3.58;0;0;37.41;0;0;27.31;0;0;44.21;0;0;0;0;0;0;0;0;0;0;0;0;0;9033;1.053803
MES;Mesbon China Nylon Limited;31/12/2017;0.08;0;0.26;91.67;1.05;0;0;0;0;0.01;0;0.01;0;0;0.33;0.38;1.02;0;0;69.53;71;0;0;312.14;473.56;2.31;25.47;9.19;2.4;5;2.93;0.6;25.47;9.19;2.4;0.88;39.78;0;6.31;6.15;7.7;7.48;25.27;23.16;0;50.85;0;0;1436;1.01406
SIO;Simonds Group Ltd;29/02/2012;0.1;0.4;0.34;11.11;0;56820000;0;0;0;0;0;0;0;8.03;0.02;0.02;0.99;7.68;7.68;9.13;9.13;0;0;0;0;0.56;45.69;0;45.69;11.12;0;11.12;127.66;0;127.66;0;52.84;0;18.23;2.03;3.22;2.25;0;0;0;0;0;116741;47207;1.063803
EVZ;EVZ Limited;31/03/2018;0.01;0.02;0.01;0;0.8;4630000;0;0;0;0;0;0;0;0;0.03;0.01;0.47;0.33;0.33;36.2;36.2;2.13;2.13;232.34;232.34;0.54;32.87;22.76;32.87;6.31;11.61;6.31;34.71;27.64;34.71;1.87;115.66;0;16.82;0.92;1.08;3.81;0;0.61;16.5;0;0;0;18396;1.004255
XTV;XTV Networks Ltd;30/11/2013;0.01;0.01;0.01;42.86;1.58;6300000;0;0;0;0;0;0;0;0;0.01;0.01;5.34;0;0;10.55;14.46;0;0;12.71;21.02;0;223.75;906.13;0;180.18;237.69;205.29;223.75;906.13;0;0.34;604.61;0;0;1003.62;1020.97;989.6;0;56.31;0;0;0;0;0;1.054012
DEG;De Grey Mining Limited;30/06/2010;0.01;0.05;0.05;155;6.83;8470000;0;0;0;0;0;0;0;0;0.01;0.01;6.53;0;0;0;0;0;0;0;0;0;116.91;151.72;116.91;97.04;124.18;97.04;116.91;151.72;116.91;1.91;155.05;0;0;3240.75;3621.1;3621.1;0;36.54;24.97;0;0;0;808171;1.083875
HRN;Horizon Gold Ltd;31/05/2012;0;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;757378;19816;1.064044
GAP;Gale Pacific Limited;31/10/2015;0.03;0.4;0.37;42.11;1.21;118990000;11.78;0.01;0.01;0.02;0.02;0.02;4.32;5.21;0.33;0.08;2.56;12.17;12.17;20.4;20.4;19.6;19.6;32.84;32.84;0;9.28;9.18;9.28;6.6;6.63;6.6;10.36;9.75;10.36;0.55;126.04;0;44.07;9.86;5.71;5.91;7.57;12.62;4.47;7.04;0;49330;161317;1.034255
ALTN;ANALYTICA DEF;28/02/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.014427
WAF;West African Resources Ltd;30/11/2012;0.03;0.3;0.26;342.86;39.74;145160000;0;0;0;0;0;0;0;0;0.01;0.03;1.37;0;0;57.96;57.96;0;0;211.82;211.82;10.7;246.56;225.51;246.56;100.93;163.48;100.93;0;345.26;0;1.17;461.44;0;0;20755.45;21132.49;22307.63;0;29.76;0;0;0;802334;97828;1.06416
SFX;Sheffield Resources Ltd;31/03/2019;0.01;0.65;0.55;85.29;2.63;117660000;0;0;0;0;0;0;0;0;0.24;0.03;2.12;0;0;0;0;0;0;0;0;38.35;5.32;4.01;5.32;5.04;3.85;5.04;5.32;4.01;5.32;1.69;120.43;0;0;2117.52;2145.92;973.25;0;0.55;0;0;0;40000;59049;0.994562
LHD;LOCHARD CDI 1:1;31/05/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76544;1.074131
NAEN;NEW AGE DEF X OPT;31/01/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.044342
APE;AP Eagers Ltd;31/08/2013;0.48;9.51;10.59;20.08;2.52;1810000000;19.81;0.13;0.13;0.32;0.33;0.33;3.47;54.33;3.77;0.2;1.29;14.09;18.17;41.24;46.43;30.19;45;88.4;114.97;8.13;9.69;8.94;9.95;5.89;5.5;6.11;13.74;12.88;13.49;0.62;81.35;0;18.49;4.83;4.21;2.67;22.26;12.38;11.72;17.3;14.49;42781;65061;1.054327
MVT;Mercantile Investment Company Ltd;30/04/2013;0.01;0.17;0;0;0;47600000;24.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67719;38954;1.054344
SYMN;SYMEX DEF;31/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.994734
FRM;Farm Pride Foods Ltd.;31/05/2015;0.15;1.76;1.92;48.31;2.53;97120000;11.95;0;0;0;0;0;0;0;0.69;0.06;1.39;0.44;0.44;2.06;2.06;0.64;0.64;2.98;2.98;29.84;22.22;9.88;22.22;15.33;5.51;15.33;23.87;12.04;23.87;0.12;13.46;0;35.88;16.92;12.55;8.68;0;0.42;2.79;0;0;38446;93067;1.034558
GMXN;GMINEX DEF;30/04/2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.064417
TYX;Tyranna Resources Ltd;31/10/2014;0.01;0.03;0.03;57.89;0.45;11560000;0;0;0;0;0;0;0;0;0.07;0;1.42;0;0;0.97;0.97;0;0;1.05;1.05;0;8.97;17.86;8.97;8.09;16.34;8.09;8.98;17.86;8.98;2.84;277.58;0;0;83.24;129.27;72.27;0;63.94;0;0;0;814764;198656;1.044575
CGH;Calibre Group Ltd;31/03/2018;0.24;0;0.15;57.41;1.14;0;0;0;0;0;0;0;0;1.84;0.1;0.05;1.17;9.67;9.67;9.88;9.88;36.47;36.47;37.29;37.29;11.29;75.06;0;75.06;48.9;0;48.9;106.09;0;106.09;1.23;44.68;0;21.76;5.22;32.04;28.18;0;15.3;0;0;0;0;233216;1.004801
RUL;Rungepincockminarco Ltd;31/03/2017;0.05;0.52;0.47;15.56;2.03;110430000;0;0;0;0;0;0;0;0;0.26;0.11;2.02;0;0;0;0;0;0;0;0;0;18;9.66;18;13.28;6.8;13.28;18.79;10.51;18.79;0.52;205.36;0;92.16;5.64;16.66;16.22;0;9.52;7.57;0;0;0;158696;1.014815
AOF;Australian Unity Office Fund;31/12/2015;0;2.05;0;0;1.04;287760000;0;0;0.04;0;0.01;0;0.35;16.42;1.95;0.08;0;29.14;0;29.14;0;43.08;0;43.08;0;0;0;0;4.82;0;0;4.75;0;0;8.12;0;102.75;0;0;0;0;0;0;0;0;0;0;44187;85054;1.034734
8IH;8I Holdings Ltd;31/05/2010;0.05;0.71;0.78;41.32;5.31;255380000;14.41;0;0;0.01;0.01;0;1.38;4.99;0.13;0.1;6.41;0.12;0.1;0.22;0.23;0.14;0.11;0.26;0.26;0;34.47;0;42.65;29.47;0;37.55;34.03;0;42.65;0;185.61;0;99.21;20.17;103.53;109.08;0;0;0;0;0;0;41766;1.084512
ICU;Isentric Ltd;31/08/2012;0.01;0.06;0.09;63.42;0.39;9670000;4.18;0;0;0;0;0;0;0;0.15;0;2.3;0;0;0;0;0;0;0;0;39.68;10;6.96;10;8.65;5.56;8.65;10;6.96;10;0;10.53;0;60.78;20.33;15.49;19.75;0;148.5;31.25;0;0;0;56101;1.064663
CTL;Centennial Mining Ltd;30/09/2014;0;0.02;0.03;7.14;0.4;13400000;0;0;0;0;0;0;0;0;0.05;0;0.46;5.78;5.78;6.58;6.58;7.24;7.24;8.23;8.23;74.61;4.29;13.63;4.29;3.96;12.88;3.96;4.72;14.05;4.72;0.95;493.47;0;0;404.56;697.62;752.82;0;0;0;0;0;3940000;315561;1.044795
HSO;Healthscope Ltd;31/07/2017;0.11;2.26;2.7;0.88;1.67;3920000000;21.48;0.04;0.04;0.07;0.07;0.07;3.25;124.9;1.37;0.12;1.29;35.03;35.03;35.25;35.25;65.63;65.63;66.03;66.03;7.55;4.79;0.44;4.79;4.34;0.33;4.34;7.81;1;7.81;0;1727.34;0;78.51;17.76;12.89;7.98;0;9.89;7.36;0;8.25;5910000;5540000;1.014967
WAK;ILH Group Ltd;31/03/2017;0;0.36;0;0;0;60340000;0;0;0;0;0;0;0;0;0;0;0.52;0.02;0.02;36.92;36.92;0.06;0.06;101.82;101.82;15.3;18.98;0.21;18.98;12.07;0.15;12.07;26.03;0.25;26.03;0;164.3;0;0;20.01;22.4;16.34;0;10.71;0;0;0;0;0;1.015008
HZN;Horizon Oil Ltd;30/11/2010;0.15;0.06;0.05;19.74;0.58;79420000;0;0;0;0;0;0;0;0;0.11;0.01;0.33;23.52;23.52;50.54;50.54;64.45;64.45;138.5;138.5;0.49;48.82;5.83;48.82;35.68;4.74;35.68;80.05;10.91;80.05;1.43;807.82;0;20.77;60.07;197.13;190.28;0;5.05;89.53;0;0;305720;1970000;1.084671
LGR;Lanka Graphite Ltd;30/09/2010;0.04;0.06;0.09;50;2.62;3570000;0;0;0;0;0;0;0;0;0.02;0.01;0;0;0;8.13;8.13;0;0;13.02;13.02;0;240.41;616.81;240.41;156.52;157.69;156.52;235.94;607.25;235.94;0;27.84;0;0;521427.4;521805.9;521805.9;0;87.41;56.75;0;0;0;5000;1.084685
TUP;TTG Fintech Ltd;30/11/2014;0.01;0.07;0.1;51.33;34.47;46560000;0;0;0;0;0;0;0;0;0;0;0.94;0;0;35.74;68.52;0;0;91.82;0;14.41;280.51;0;120.43;103.69;0;81.32;283.84;0;119.44;0.37;4.15;0;29.85;272.08;294.26;294.26;0;0;0;0;0;95000;142277;1.044885
GRG;GRG International Limited;31/03/2012;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.01;1.08;0;0;1.25;1.25;0;0;1.8;1.8;8.79;10.21;0;10.21;7;0;7;10.29;0;10.29;0;45.88;0;30.71;7.93;7.52;7.56;0;0;0;0;0;0;0;1.064803
AST;AusNet Services;31/03/2018;0;1.57;0;0;0;5430000000;0;0;0;0;0;0;0;0;0;0;0.99;53.38;53.38;59.82;59.82;198.21;198.21;222.12;222.12;2.22;0.23;2.35;0.23;0.2;2.04;0.2;0.68;6.26;0.68;0;2791.03;0;0;58.63;36.43;1.23;35.91;6.58;16.54;39.27;11.14;3750000;4770000;1.005103
