symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
MXUPA;Multiplex Sites Step Up;31/05/2015;0;95.3;71.33;0.08;0.72;0;0;3.09;1.41;6.19;5.97;6.14;8.34;28.44;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.14;7.2;6.19;0.56;4.06;0;0;0;0;0;4.91;0;0;4.91;0;10263;0;0.934682
MRJ;Stonewall Resources Ltd;31/10/2018;0.04;0;0.01;45.45;7.65;0;0;0;0;0;0;0;0;0;0;0;0.05;2.36;2.36;54.57;54.57;9.79;9.79;225.95;225.95;4.17;78.01;89.5;78.01;37.82;52.97;37.82;191.75;108.81;191.75;1.71;438.25;0;0;0;0;0;0;0;0;0;0;0;2749;0.908494
ASH;Ashley Services Group Ltd;30/06/2012;0.45;0.13;0.18;10.34;0.72;19500000;0;0;0.04;0;0.06;0;49.23;6.15;0.18;0.01;1.4;0;0;0.18;0.18;0;0;0.38;0.38;17.7;91.48;0;91.48;68.6;0;68.6;103.06;0;103.06;0;41.13;0;0;1.75;26.48;23.85;0;0;0;0;0;0;0;0.962704
SND;Saunders International Ltd;30/11/2016;0.04;0.59;0.55;1.71;2.62;47410000;16.16;0.04;0.02;0.06;0.04;0.06;6.96;4.77;0.22;0.18;3.25;0;0;0;0;0;0;0;0;0;15.61;26.05;15.61;11.32;17.28;11.32;15.97;26.51;15.97;0.42;29.39;0;62.19;10.18;8.7;6.91;8.99;4.55;2.68;8.7;1.26;12802;19088;0.92728
RLE;Real Energy Corporation Ltd;31/12/2015;0;0.06;0.09;27.06;0.49;12460000;0;0;0;0;0;0;0;0;0.13;0.04;5.24;0;0;0;0;0;0;0;0;0;0.12;2.14;0.12;0.12;1.93;0.12;0.13;2.16;0.13;0;82.99;0;0;20.14;1.8;1.8;0;230.8;0;0;0;114278;67405;0.93648
LRF;Auctus Resources Fund;31/08/2016;0.17;0;0.65;16.26;0.75;0;0;0;0;0.03;0;0.02;0;4.04;0.95;0.22;0;0;0;0;0;0;0;0;0;0.01;21.95;4.64;27.5;21.87;4.38;26.03;22.22;4.91;28.41;1.58;138.21;0;9.65;24.94;813.48;679.92;0;51.26;0;0;0;0;8199;0.927625
AVL;Australian Vanadium Ltd;28/02/2017;0;0.02;0.02;151.23;1.04;20030000;0;0;0;0;0;0;0;0;0.02;0;14.96;0;0;0;0;0;0;0;0;0;7.63;21.57;7.63;7.52;21.46;7.52;7.63;21.57;7.63;0.29;989.76;0;0;438.34;443.12;443.12;0;8.69;64.49;0;0;304000;2350000;0.920634
WHN;WHL Energy Limited;31/03/2017;1.11;0.08;0;33.33;0.01;5560000;0;0;0;0;0;0;0;0;0.15;0.01;0.46;0;0;6.81;0;0;0;7.73;0;4.53;33.47;15.58;12.34;28.48;13.92;10.52;33.47;15.58;12.34;1.49;5383.1;0;0;791.28;800.58;1475.96;0;49.73;0;0;0;0;0;0.920882
IOH;BC Pilbara Iron Ore Pty Ltd;28/02/2019;0.12;0;0.94;20.45;2.02;0;0;0;0;0;0;0;0;0;0.35;0.32;7.65;0;0;0;0;0;0;0;0;0;28.57;8.87;28.57;25.42;8;25.42;28.57;8.89;28.57;1.5;1.6;0;0;490.53;447.06;373.65;0;34.91;0;0;0;0;17715;0.902907
CV1;CV Check Ltd;30/11/2010;0.06;0.09;0.15;78.09;3.65;13400000;0;0;0;0;0;0;0;0;0.02;0.02;2.24;0.92;0.92;1.11;1.11;1.52;1.52;1.83;1.83;2258.95;0;0;292.6;0;0;198.9;0;0;331.58;0;19.76;0;46.97;143.46;149.31;142.59;0;0;0;0;0;348082;404043;0.984451
JVG;JV Global Limited;30/09/2016;0;0;0;33.33;0;559670;0;0;0;0;0;0;0;0;0;0;0.3;0;0;323.35;323.35;0;0;0;0;5.64;0;0;0;39.56;29.35;39.56;0;0;0;1.42;134.03;0;11.96;42.41;42.41;49.93;0;70.01;17.92;0;0;250000;0;0.93032
TMT;Technology Metals Australia Ltd;31/07/2019;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129677;440323;0.903516
SKB;Skydive the Beach Group Ltd;31/05/2018;0.02;0.58;0.54;60.66;3.45;251750000;23.99;0.01;0.01;0.01;0.01;0.01;1.64;2.94;0.18;0.03;3.35;9.45;9.45;11.78;11.78;11.84;11.84;14.77;14.77;14.74;11.68;0;11.68;10.45;0;10.45;13.87;0;13.87;0;272.97;0;45.85;22.96;16.82;12.21;0;0;0;0;0;7202;134662;0.91282
